,song_title,artist,year
0,As It Was,Harry Styles,2022
1,Running Up That Hill (A Deal With God),Kate Bush,2022
2,First Class,Jack Harlow,2022
3,Wait For U,Future Featuring Drake & Tems,2022
4,Break My Soul,Beyonce,2022
5,Late Night Talking,Harry Styles,2022
6,Me Porto Bonito,Bad Bunny & Chencho Corleone,2022
7,I Like You (A Happier Song),Post Malone Featuring Doja Cat,2022
8,Heat Waves,Glass Animals,2022
9,Bad Habit,Steve Lacy,2022
10,Sunroof,Nicky Youre & dazy,2022
11,Big Energy,Latto,2022
12,Wasted On You,Morgan Wallen,2022
13,Jimmy Cooks,Drake Featuring 21 Savage,2022
14,Titi Me Pregunto,Bad Bunny,2022
15,The Kind Of Love We Make,Luke Combs,2022
16,Stay,The Kid LAROI & Justin Bieber,2022
17,Numb Little Bug,Em Beihold,2022
18,Ghost,Justin Bieber,2022
19,Glimpse Of Us,Joji,2022
20,You Proof,Morgan Wallen,2022
21,Get Into It (Yuh),Doja Cat,2022
22,I Ain't Worried,OneRepublic,2022
23,She Had Me At Heads Carolina,Cole Swindell,2022
24,Moscow Mule,Bad Bunny,2022
25,Shivers,Ed Sheeran,2022
26,Vegas,Doja Cat,2022
27,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2022
28,Like I Love Country Music,Kane Brown,2022
29,In A Minute,Lil Baby,2022
30,Damn Strait,Scotty McCreery,2022
31,Rock And A Hard Place,Bailey Zimmerman,2022
32,Provenza,Karol G,2022
33,Boyfriend,Dove Cameron,2022
34,Sticky,Drake,2022
35,Fall In Love,Bailey Zimmerman,2022
36,Enemy,Imagine Dragons X JID,2022
37,Super Gremlin,Kodak Black,2022
38,Last Night Lonely,Jon Pardi,2022
39,Something In The Orange,Zach Bryan,2022
40,Thats What I Want,Lil Nas X,2022
41,Woman,Doja Cat,2022
42,Efecto,Bad Bunny,2022
43,Hot Shit,"Cardi B, Ye & Lil Durk",2022
44,Take My Name,Parmalee,2022
45,Left And Right,Charlie Puth Featuring Jung Kook,2022
46,5 Foot 9,Tyler Hubbard,2022
47,Sweetest Pie,Megan Thee Stallion & Dua Lipa,2022
48,Thousand Miles,The Kid LAROI,2022
49,What Happened To Virgil,Lil Durk Featuring Gunna,2022
50,TV,Billie Eilish,2022
51,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,2022
52,Party,Bad Bunny & Rauw Alejandro,2022
53,Pressurelicious,Megan Thee Stallion Featuring Future,2022
54,Son Of A Sinner,Jelly Roll,2022
55,Cooped Up,Post Malone Featuring Roddy Ricch,2022
56,Despues de La Playa,Bad Bunny,2022
57,Betty (Get Money),Yung Gravy,2022
58,Numb,Marshmello & Khalid,2022
59,Wishful Drinking,Ingrid Andress With Sam Hunt,2022
60,So Good,Halsey,2022
61,Trouble With A Heartbreak,Jason Aldean,2022
62,Ojitos Lindos,Bad Bunny & Bomba Estereo,2022
63,Progress,John Rich,2022
64,F.N.F. (Let's Go),Hitkidd & Glorilla,2022
65,New Truck,Dylan Scott,2022
66,2step,Ed Sheeran Featuring Lil Baby,2022
67,Puffin On Zootiez,Future,2022
68,Last Last,Burna Boy,2022
69,Whiskey On You,Nate Smith,2022
70,Best Thing Since Backroads,Jake Owen,2022
71,Tarot,Bad Bunny & Jhay Cortez,2022
72,Unstoppable,Sia,2022
73,Wild As Her,Corey Kent,2022
74,Hotel Lobby (Unc And Phew),Quavo & Takeoff,2022
75,Free Mind,Tems,2022
76,Ghost Story,Carrie Underwood,2022
77,The 30th,Billie Eilish,2022
78,Bones,Imagine Dragons,2022
79,Massive,Drake,2022
80,Truth About You,Mitchell Tenpenny,2022
81,She Likes It,Russell Dickerson & Jake Scott,2022
82,Love Me More,Sam Smith,2022
83,Thought You Should Know,Morgan Wallen,2022
84,At The End Of A Bar,Chris Young With Mitchell Tenpenny,2022
85,Silent Hill,Kendrick Lamar & Kodak Black,2022
86,Until I Found You,Stephen Sanchez,2022
87,See Wat I'm Sayin,Moneybagg Yo,2022
88,With A Woman You Love,Justin Moore,2022
89,Love Lost,Mac Miller,2022
90,Plan B,Megan Thee Stallion,2022
91,Un Ratito,Bad Bunny,2022
92,Vette Motors,YoungBoy Never Broke Again,2022
93,Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",2022
94,Te Felicito,Shakira & Rauw Alejandro,2022
95,Are You Entertained,Russ & Ed Sheeran,2022
96,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2022
97,Right On,Lil Baby,2022
98,La Corriente,Bad Bunny & Tony Dize,2022
